sti_id,state_id,STD Cases
1,1,29010
1,2,5789
1,3,32397
1,4,15605
1,5,176308
1,6,21863
1,7,13382
1,8,4473
1,9,5293
1,10,84194
1,11,51945
1,12,6419
1,13,5442
1,14,66536
1,15,28519
1,16,11804
1,17,11116
1,18,17664
1,19,28955
1,20,3530
1,21,27424
1,22,21271
1,23,44256
1,24,19907
1,25,19605
1,26,27981
1,27,4193
1,28,7499
1,29,11841
1,30,3586
1,31,29904
1,32,11558
1,33,98814
1,34,47147
1,35,3451
1,36,54858
1,37,20662
1,38,15508
1,39,50536
1,40,4349
1,41,28087
1,42,4166
1,43,30793
1,44,131219
1,45,8223
1,46,2237
1,47,36048
1,48,26577
1,49,4719
1,50,23154
1,51,1972
2,1,7677
2,2,1341
2,3,7750
2,4,4539
2,5,45408
2,6,3170
2,7,2333
2,8,1279
2,9,1883
2,10,20944
2,11,13770
2,12,1020
2,13,443
2,14,15970
2,15,7289
2,16,1641
2,17,2568
2,18,4353
2,19,9002
2,20,237
2,21,6108
2,22,3817
2,23,9688
2,24,4073
2,25,5625
2,26,7387
2,27,434
2,28,1459
2,29,3188
2,30,226
2,31,6636
2,32,2246
2,33,20758
2,34,14415
2,35,694
2,36,16237
2,37,6137
2,38,2320
2,39,12710
2,40,590
2,41,8253
2,42,892
2,43,7199
2,44,35322
2,45,1441
2,46,84
2,47,8250
2,48,6221
2,49,841
2,50,4078
2,51,116
3,1,161
3,2,15
3,3,577
3,4,121
3,5,3835
3,6,186
3,7,86
3,8,47
3,9,116
3,10,1740
3,11,1234
3,12,68
3,13,12
3,14,863
3,15,168
3,16,72
3,17,60
3,18,158
3,19,575
3,20,16
3,21,449
3,22,301
3,23,421
3,24,257
3,25,189
3,26,352
3,27,8
3,28,50
3,29,357
3,30,36
3,31,297
3,32,126
3,33,1727
3,34,733
3,35,13
3,36,568
3,37,151
3,38,272
3,39,532
3,40,71
3,41,250
3,42,53
3,43,237
3,44,1636
3,45,47
3,46,5
3,47,289
3,48,344
3,49,28
3,50,86
3,51,4
4,1,481
4,2,24
4,3,717
4,4,258
4,5,"4,720"
4,6,373
4,7,271
4,8,109
4,10,"4,849"
4,11,"2,381"
4,12,115
4,13,38
4,14,"1,472"
4,15,632
4,16,126
4,17,147
4,18,336
4,19,"1,129"
4,20,45
4,21,"1,347"
4,22,600
4,23,725
4,24,287
4,25,509
4,26,465
4,27,19
4,28,81
4,29,485
4,30,22
4,31,"1,190"
4,32,135
4,33,"3,123"
4,34,"1,335"
4,35,22
4,36,927
4,37,319
4,38,211
4,39,"1,170"
4,40,64
4,41,694
4,42,23
4,43,712
4,44,"4,476"
4,45,116
4,46,11
4,47,956
4,48,445
4,49,74
4,50,229
4,51,15
4,9,383