id,State,Population
1,Alabama,4833722
2,Alaska,735132
3,Arizona,6626624
4,Arkansas,2959373
5,California,38332521
6,Colorado,5268367
7,Connecticut,3596080
8,Delaware,925749
9,District of Columbia,646449
10,Florida,19552860
11,Georgia,9992167
12,Hawaii,1404054
13,Idaho,1612136
14,Illinois,12882135
15,Indiana,6570902
16,Iowa,3090416
17,Kansas,2893957
18,Kentucky,4395295
19,Louisiana,4625470
20,Maine,1328302
21,Maryland,5928814
22,Massachusetts,6692824
23,Michigan,9895622
24,Minnesota,5420380
25,Mississippi,2991207
26,Missouri,6044171
27,Montana,1015165
28,Nebraska,1868516
29,Nevada,2790136
30,New Hampshire,1323459
31,New Jersey,8899339
32,New Mexico,2085287
33,New York,19651127
34,North Carolina,9848060
35,North Dakota,723393
36,Ohio,11570808
37,Oklahoma,3850568
38,Oregon,3930065
39,Pennsylvania,12773801
40,Rhode Island,1051511
41,South Carolina,4774839
42,South Dakota,844877
43,Tennessee,6495978
44,Texas,26448193
45,Utah,2900872
46,Vermont,626630
47,Virginia,8260405
48,Washington,6971406
49,West Virginia,1854304
50,Wisconsin,5742713
51,Wyoming,582658